"filename", "language", "SQL", "Markdown", "Java", "comment", "blank", "total"
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\README.md", "Markdown", 0, 42, 0, 0, 24, 66
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\doc\煤气管理系统需求分析.md", "Markdown", 0, 183, 0, 0, 184, 367
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\sql\gasms.sql", "SQL", 135, 0, 0, 42, 28, 205
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Controller\AdmiCon.java", "Java", 0, 0, 34, 24, 13, 71
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Controller\ChoseCon.java", "Java", 0, 0, 51, 21, 7, 79
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Controller\GasCon.java", "Java", 0, 0, 43, 35, 15, 93
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Controller\GasTypeCon.java", "Java", 0, 0, 29, 27, 10, 66
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Controller\PageQueryCon.java", "Java", 0, 0, 61, 7, 12, 80
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Controller\UserCon.java", "Java", 0, 0, 55, 19, 22, 96
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Controller\UserTypeCon.java", "Java", 0, 0, 35, 26, 6, 67
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\access\AdmiAccess.java", "Java", 0, 0, 40, 27, 10, 77
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\access\ChoseAccess.java", "Java", 0, 0, 81, 26, 7, 114
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\access\Connect.java", "Java", 0, 0, 129, 39, 12, 180
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\access\GasAccess.java", "Java", 0, 0, 88, 37, 12, 137
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\access\GasTypeAccess.java", "Java", 0, 0, 61, 22, 7, 90
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\access\UserAccess.java", "Java", 0, 0, 86, 48, 17, 151
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\access\UserTypeAccess.java", "Java", 0, 0, 61, 25, 4, 90
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\table\Administrator.java", "Java", 0, 0, 66, 4, 21, 91
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\table\Gas.java", "Java", 0, 0, 52, 4, 17, 73
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\table\GasType.java", "Java", 0, 0, 17, 5, 7, 29
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\table\Chose.java", "Java", 0, 0, 52, 5, 17, 74
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\table\Reader.java", "Java", 0, 0, 80, 5, 25, 110
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\table\ReaderType.java", "Java", 0, 0, 31, 4, 10, 45
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\table\Total.java", "Java", 0, 0, 45, 1, 14, 60
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Tool\InputLimit.java", "Java", 0, 0, 93, 40, 12, 145
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Tool\MD5Tool.java", "Java", 0, 0, 34, 12, 6, 52
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Tool\PubJdialog.java", "Java", 0, 0, 616, 61, 18, 695
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Tool\RegexTool.java", "Java", 0, 0, 44, 33, 13, 90
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Tool\TableTool.java", "Java", 0, 0, 29, 14, 6, 49
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Tool\TimeTool.java", "Java", 0, 0, 43, 16, 9, 68
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\Login.java", "Java", 0, 0, 145, 15, 6, 166
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\Main.java", "Java", 0, 0, 213, 13, 28, 254
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\ManageGas.java", "Java", 0, 0, 319, 40, 14, 373
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\ManageGasType.java", "Java", 0, 0, 144, 8, 10, 162
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\ManageChoseInfo.java", "Java", 0, 0, 79, 10, 6, 95
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\ManageFace.java", "Java", 0, 0, 54, 5, 12, 71
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\ManageReader.java", "Java", 0, 0, 187, 15, 6, 208
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\ManageReaderType.java", "Java", 0, 0, 135, 11, 8, 154
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\ManageSuper.java", "Java", 0, 0, 187, 24, 13, 224
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\UserGas.java", "Java", 0, 0, 303, 49, 13, 365
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\UserFace.java", "Java", 0, 0, 45, 5, 6, 56
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\UserMessage.java", "Java", 0, 0, 106, 17, 8, 131
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\UserReturn.java", "Java", 0, 0, 120, 13, 6, 139
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\todo.md", "Markdown", 0, 39, 0, 0, 3, 42
"Total", "-", 135, 264, 4093, 854, 704, 6050
