"filename", "language", "Markdown", "Java", "SQL", "comment", "blank", "total"
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\README.md", "Markdown", 38, 0, 0, 0, 23, 61
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\doc\煤气管理系统需求分析.md", "Markdown", 183, 0, 0, 0, 184, 367
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\sql\gasdms.sql", "SQL", 0, 0, 135, 42, 28, 205
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Controller\AdmiCon.java", "Java", 0, 34, 0, 24, 13, 71
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Controller\ChoseCon.java", "Java", 0, 51, 0, 21, 7, 79
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Controller\GasCon.java", "Java", 0, 42, 0, 35, 15, 92
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Controller\GasTypeCon.java", "Java", 0, 29, 0, 27, 10, 66
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Controller\PageQueryCon.java", "Java", 0, 61, 0, 7, 12, 80
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Controller\UserCommunityCon.java", "Java", 0, 35, 0, 26, 6, 67
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Controller\UserCon.java", "Java", 0, 55, 0, 19, 22, 96
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\access\AdmiAccess.java", "Java", 0, 40, 0, 27, 10, 77
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\access\ChoseAccess.java", "Java", 0, 81, 0, 26, 7, 114
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\access\Connect.java", "Java", 0, 129, 0, 39, 12, 180
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\access\GasAccess.java", "Java", 0, 88, 0, 37, 12, 137
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\access\GasTypeAccess.java", "Java", 0, 61, 0, 22, 7, 90
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\access\UserAccess.java", "Java", 0, 84, 0, 48, 17, 149
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\access\UserCommunityAccess.java", "Java", 0, 61, 0, 25, 4, 90
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\table\Administrator.java", "Java", 0, 66, 0, 4, 21, 91
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\table\Chose.java", "Java", 0, 52, 0, 5, 17, 74
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\table\Gas.java", "Java", 0, 52, 0, 4, 17, 73
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\table\GasType.java", "Java", 0, 17, 0, 3, 7, 27
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\table\Total.java", "Java", 0, 45, 0, 1, 14, 60
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\table\User.java", "Java", 0, 61, 0, 5, 19, 85
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\table\userCommunity.java", "Java", 0, 31, 0, 4, 10, 45
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Tool\InputLimit.java", "Java", 0, 93, 0, 40, 12, 145
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Tool\MD5Tool.java", "Java", 0, 34, 0, 12, 6, 52
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Tool\PubJdialog.java", "Java", 0, 614, 0, 61, 19, 694
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Tool\RegexTool.java", "Java", 0, 44, 0, 33, 13, 90
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Tool\TableTool.java", "Java", 0, 29, 0, 14, 6, 49
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Tool\TimeTool.java", "Java", 0, 43, 0, 16, 9, 68
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\Login.java", "Java", 0, 147, 0, 15, 7, 169
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\Main.java", "Java", 0, 213, 0, 13, 28, 254
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\ManageChoseInfo.java", "Java", 0, 79, 0, 10, 6, 95
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\ManageFace.java", "Java", 0, 54, 0, 5, 12, 71
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\ManageGas.java", "Java", 0, 321, 0, 41, 18, 380
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\ManageGasType.java", "Java", 0, 144, 0, 8, 10, 162
